variant,entry_date,exit_date,days_held,entry_open,exit_open,trade_return
ANT_pup60,2025-11-07,2026-05-19,132,662.4219,732.892,0.106382
ANT_pup70,1995-10-26,1995-11-07,9,34.2817,34.6488,0.010707
ANT_pup70,1995-12-22,1996-01-05,9,36.2294,36.2294,0.0
ANT_pup70,1996-01-17,1996-01-26,8,35.8694,36.4326,0.015702
ANT_pup70,1996-02-28,1996-04-04,27,38.593,38.9128,0.008286
ANT_pup70,1996-04-09,1996-05-30,37,38.3657,39.7289,0.035533
ANT_pup70,1996-06-12,1996-08-22,51,40.0999,39.8276,-0.006791
ANT_pup70,1996-08-30,1996-10-01,22,39.3801,41.2039,0.046313
ANT_pup70,1996-10-29,1996-12-04,26,42.0191,44.9054,0.068689
ANT_pup70,1996-12-09,1996-12-31,16,44.7929,45.3709,0.012903
ANT_pup70,1997-01-02,1997-01-14,9,44.8247,46.2184,0.031093
ANT_pup70,1997-02-28,1997-04-25,40,47.7628,46.6223,-0.023879
ANT_pup70,1997-08-11,1997-09-25,33,56.939,57.4526,0.009021
ANT_pup70,1997-10-17,1997-11-25,28,57.9193,58.2908,0.006414
ANT_pup70,1997-12-12,1998-02-25,50,58.7861,63.4953,0.080107
ANT_pup70,1998-04-27,1998-07-22,61,67.1301,71.6345,0.067099
ANT_pup70,1998-08-19,1998-09-28,28,68.402,65.0714,-0.048691
ANT_pup70,1998-10-01,1998-11-12,31,61.8082,69.3966,0.122774
ANT_pup70,1998-12-04,1999-01-05,21,72.0613,76.2141,0.057628
ANT_pup70,1999-01-26,1999-03-10,31,76.9503,79.6431,0.034995
ANT_pup70,1999-03-24,1999-04-15,16,78.8264,82.9241,0.051983
ANT_pup70,1999-04-21,1999-07-14,59,81.4481,87.265,0.071418
ANT_pup70,1999-07-22,1999-08-27,27,85.6678,85.3171,-0.004093
ANT_pup70,1999-08-31,1999-11-24,61,82.8628,87.9796,0.06175
ANT_pup70,1999-12-01,1999-12-07,5,87.081,89.5618,0.028488
ANT_pup70,1999-12-09,2000-01-04,18,88.6437,89.9382,0.014603
ANT_pup70,2000-01-13,2000-04-05,58,90.5257,92.8956,0.026179
ANT_pup70,2000-04-27,2000-06-07,29,89.8331,92.1104,0.025351
ANT_pup70,2000-06-28,2000-07-18,14,91.6975,94.8459,0.034335
ANT_pup70,2000-07-25,2000-11-02,72,93.0356,90.3694,-0.028657
ANT_pup70,2000-11-15,2001-01-26,49,87.7852,85.581,-0.025109
ANT_pup70,2001-02-08,2001-04-17,47,85.3555,74.4808,-0.127405
ANT_pup70,2001-05-30,2001-10-18,96,80.3727,68.9078,-0.142647
ANT_pup70,2001-10-30,2001-11-19,15,68.6075,73.4454,0.070517
ANT_pup70,2001-12-04,2002-03-14,69,72.8063,74.4163,0.022113
ANT_pup70,2002-03-28,2002-08-13,96,73.9413,58.1816,-0.213138
ANT_pup70,2002-09-03,2002-10-30,42,58.556,57.4895,-0.018213
ANT_pup70,2002-12-06,2003-03-25,74,58.423,56.736,-0.028876
ANT_pup70,2003-06-24,2003-09-05,52,64.4771,67.5755,0.048055
ANT_pup70,2003-10-02,2003-12-22,57,67.1693,72.0287,0.072344
ANT_pup70,2004-02-02,2004-04-14,51,75.2795,74.8192,-0.006115
ANT_pup70,2004-08-02,2004-08-31,22,73.4786,73.792,0.004265
ANT_pup70,2004-10-11,2004-11-22,31,75.5188,78.6909,0.042004
ANT_pup70,2004-12-08,2004-12-16,7,79.3893,81.075,0.021233
ANT_pup70,2005-01-19,2005-02-08,15,80.5875,81.0869,0.006197
ANT_pup70,2005-02-24,2005-03-09,10,80.4593,82.3015,0.022895
ANT_pup70,2005-04-11,2005-06-01,37,80.1318,80.9651,0.010398
ANT_pup70,2005-06-29,2005-07-19,14,81.87,83.4615,0.01944
ANT_pup70,2005-08-11,2005-09-14,24,83.8424,84.1621,0.003813
ANT_pup70,2005-10-27,2005-12-01,25,81.4193,86.0777,0.057215
ANT_pup70,2005-12-20,2006-01-17,18,86.4241,88.0309,0.018592
ANT_pup70,2006-03-08,2006-03-21,10,87.6876,89.877,0.024968
ANT_pup70,2006-05-12,2006-07-10,40,89.8701,87.8992,-0.021931
ANT_pup70,2006-11-03,2006-11-27,16,95.4702,97.5636,0.021927
ANT_pup70,2007-01-04,2007-01-26,16,98.7716,99.7088,0.009488
